DeviceType,SerialNo,EnergyUsage,Interval,LoggedAt
SmartSensor,DEVICE-1598,3316,5,02/10/2022 00:00:00
SmartSensor,DEVICE-1598,3030,5,02/10/2022 00:05:00
SmartSensor,DEVICE-1598,3141,5,02/10/2022 00:10:00
SmartSensor,DEVICE-1598,3113,5,02/10/2022 00:15:00
SmartSensor,DEVICE-1598,3010,5,02/10/2022 00:20:00
SmartSensor,DEVICE-1598,3018,5,02/10/2022 00:25:00
SmartSensor,DEVICE-1598,3436,5,02/10/2022 00:30:00
SmartSensor,DEVICE-1598,3115,5,02/10/2022 00:35:00
SmartSensor,DEVICE-1598,3401,5,02/10/2022 00:40:00
SmartSensor,DEVICE-1598,3450,5,02/10/2022 00:45:00
SmartSensor,DEVICE-1598,3052,5,02/10/2022 00:50:00
SmartSensor,DEVICE-1598,3459,5,02/10/2022 00:55:00
SmartSensor,DEVICE-1598,3168,5,02/10/2022 01:00:00
SmartSensor,DEVICE-1598,3189,5,02/10/2022 01:05:00
SmartSensor,DEVICE-1598,3139,5,02/10/2022 01:10:00
SmartSensor,DEVICE-1598,3352,5,02/10/2022 01:15:00
SmartSensor,DEVICE-1598,3147,5,02/10/2022 01:20:00
SmartSensor,DEVICE-1598,3117,5,02/10/2022 01:25:00
SmartSensor,DEVICE-1598,3008,5,02/10/2022 01:30:00
SmartSensor,DEVICE-1598,3239,5,02/10/2022 01:35:00
SmartSensor,DEVICE-1598,3422,5,02/10/2022 01:40:00
SmartSensor,DEVICE-1598,3010,5,02/10/2022 01:45:00
SmartSensor,DEVICE-1598,3367,5,02/10/2022 01:50:00
SmartSensor,DEVICE-1598,3160,5,02/10/2022 01:55:00
SmartSensor,DEVICE-1598,3071,5,02/10/2022 02:00:00
SmartSensor,DEVICE-1598,3253,5,02/10/2022 02:05:00
SmartSensor,DEVICE-1598,3484,5,02/10/2022 02:10:00
SmartSensor,DEVICE-1598,3456,5,02/10/2022 02:15:00
SmartSensor,DEVICE-1598,3465,5,02/10/2022 02:20:00
SmartSensor,DEVICE-1598,3314,5,02/10/2022 02:25:00
SmartSensor,DEVICE-1598,3142,5,02/10/2022 02:30:00
SmartSensor,DEVICE-1598,3248,5,02/10/2022 02:35:00
SmartSensor,DEVICE-1598,3150,5,02/10/2022 02:40:00
SmartSensor,DEVICE-1598,3247,5,02/10/2022 02:45:00
SmartSensor,DEVICE-1598,3169,5,02/10/2022 02:50:00
SmartSensor,DEVICE-1598,3265,5,02/10/2022 02:55:00
SmartSensor,DEVICE-1598,3007,5,02/10/2022 03:00:00
SmartSensor,DEVICE-1598,3236,5,02/10/2022 03:05:00
SmartSensor,DEVICE-1598,3108,5,02/10/2022 03:10:00
SmartSensor,DEVICE-1598,3172,5,02/10/2022 03:15:00
SmartSensor,DEVICE-1598,3326,5,02/10/2022 03:20:00
SmartSensor,DEVICE-1598,3034,5,02/10/2022 03:25:00
SmartSensor,DEVICE-1598,3121,5,02/10/2022 03:30:00
SmartSensor,DEVICE-1598,3343,5,02/10/2022 03:35:00
SmartSensor,DEVICE-1598,3432,5,02/10/2022 03:40:00
SmartSensor,DEVICE-1598,3376,5,02/10/2022 03:45:00
SmartSensor,DEVICE-1598,3216,5,02/10/2022 03:50:00
SmartSensor,DEVICE-1598,3314,5,02/10/2022 03:55:00
SmartSensor,DEVICE-1598,3057,5,02/10/2022 04:00:00
SmartSensor,DEVICE-1598,3080,5,02/10/2022 04:05:00
SmartSensor,DEVICE-1598,3241,5,02/10/2022 04:10:00
SmartSensor,DEVICE-1598,3378,5,02/10/2022 04:15:00
SmartSensor,DEVICE-1598,3061,5,02/10/2022 04:20:00
SmartSensor,DEVICE-1598,3182,5,02/10/2022 04:25:00
SmartSensor,DEVICE-1598,3018,5,02/10/2022 04:30:00
SmartSensor,DEVICE-1598,3348,5,02/10/2022 04:35:00
SmartSensor,DEVICE-1598,3183,5,02/10/2022 04:40:00
SmartSensor,DEVICE-1598,3265,5,02/10/2022 04:45:00
SmartSensor,DEVICE-1598,3403,5,02/10/2022 04:50:00
SmartSensor,DEVICE-1598,3001,5,02/10/2022 04:55:00
SmartSensor,DEVICE-1598,3129,5,02/10/2022 05:00:00
SmartSensor,DEVICE-1598,3249,5,02/10/2022 05:05:00
SmartSensor,DEVICE-1598,3237,5,02/10/2022 05:10:00
SmartSensor,DEVICE-1598,3350,5,02/10/2022 05:15:00
SmartSensor,DEVICE-1598,3173,5,02/10/2022 05:20:00
SmartSensor,DEVICE-1598,3201,5,02/10/2022 05:25:00
SmartSensor,DEVICE-1598,3041,5,02/10/2022 05:30:00
SmartSensor,DEVICE-1598,3334,5,02/10/2022 05:35:00
SmartSensor,DEVICE-1598,3381,5,02/10/2022 05:40:00
SmartSensor,DEVICE-1598,3414,5,02/10/2022 05:45:00
SmartSensor,DEVICE-1598,3212,5,02/10/2022 05:50:00
SmartSensor,DEVICE-1598,3309,5,02/10/2022 05:55:00
SmartSensor,DEVICE-1598,3421,5,02/10/2022 06:00:00
SmartSensor,DEVICE-1598,3390,5,02/10/2022 06:05:00
SmartSensor,DEVICE-1598,3078,5,02/10/2022 06:10:00
SmartSensor,DEVICE-1598,3217,5,02/10/2022 06:15:00
SmartSensor,DEVICE-1598,3106,5,02/10/2022 06:20:00
SmartSensor,DEVICE-1598,3071,5,02/10/2022 06:25:00
SmartSensor,DEVICE-1598,3285,5,02/10/2022 06:30:00
SmartSensor,DEVICE-1598,3409,5,02/10/2022 06:35:00
SmartSensor,DEVICE-1598,3060,5,02/10/2022 06:40:00
SmartSensor,DEVICE-1598,3151,5,02/10/2022 06:45:00
SmartSensor,DEVICE-1598,3084,5,02/10/2022 06:50:00
SmartSensor,DEVICE-1598,3097,5,02/10/2022 06:55:00
SmartSensor,DEVICE-1598,3498,5,02/10/2022 07:00:00
SmartSensor,DEVICE-1598,3486,5,02/10/2022 07:05:00
SmartSensor,DEVICE-1598,3335,5,02/10/2022 07:10:00
SmartSensor,DEVICE-1598,3136,5,02/10/2022 07:15:00
SmartSensor,DEVICE-1598,3273,5,02/10/2022 07:20:00
SmartSensor,DEVICE-1598,3058,5,02/10/2022 07:25:00
SmartSensor,DEVICE-1598,3038,5,02/10/2022 07:30:00
SmartSensor,DEVICE-1598,3407,5,02/10/2022 07:35:00
SmartSensor,DEVICE-1598,3212,5,02/10/2022 07:40:00
SmartSensor,DEVICE-1598,3441,5,02/10/2022 07:45:00
SmartSensor,DEVICE-1598,3479,5,02/10/2022 07:50:00
SmartSensor,DEVICE-1598,3242,5,02/10/2022 07:55:00
SmartSensor,DEVICE-1598,3383,5,02/10/2022 08:00:00
SmartSensor,DEVICE-1598,3131,5,02/10/2022 08:05:00
SmartSensor,DEVICE-1598,3374,5,02/10/2022 08:10:00
SmartSensor,DEVICE-1598,3022,5,02/10/2022 08:15:00
SmartSensor,DEVICE-1598,3426,5,02/10/2022 08:20:00
SmartSensor,DEVICE-1598,3053,5,02/10/2022 08:25:00
SmartSensor,DEVICE-1598,3460,5,02/10/2022 08:30:00
SmartSensor,DEVICE-1598,3169,5,02/10/2022 08:35:00
SmartSensor,DEVICE-1598,3016,5,02/10/2022 08:40:00
SmartSensor,DEVICE-1598,3207,5,02/10/2022 08:45:00
SmartSensor,DEVICE-1598,3202,5,02/10/2022 08:50:00
SmartSensor,DEVICE-1598,3164,5,02/10/2022 08:55:00
SmartSensor,DEVICE-1598,5420,5,02/10/2022 09:00:00
SmartSensor,DEVICE-1598,5131,5,02/10/2022 09:05:00
SmartSensor,DEVICE-1598,5064,5,02/10/2022 09:10:00
SmartSensor,DEVICE-1598,5382,5,02/10/2022 09:15:00
SmartSensor,DEVICE-1598,5186,5,02/10/2022 09:20:00
SmartSensor,DEVICE-1598,5204,5,02/10/2022 09:25:00
SmartSensor,DEVICE-1598,5030,5,02/10/2022 09:30:00
SmartSensor,DEVICE-1598,5264,5,02/10/2022 09:35:00
SmartSensor,DEVICE-1598,5364,5,02/10/2022 09:40:00
SmartSensor,DEVICE-1598,5301,5,02/10/2022 09:45:00
SmartSensor,DEVICE-1598,5331,5,02/10/2022 09:50:00
SmartSensor,DEVICE-1598,5171,5,02/10/2022 09:55:00
SmartSensor,DEVICE-1598,5451,5,02/10/2022 10:00:00
SmartSensor,DEVICE-1598,5207,5,02/10/2022 10:05:00
SmartSensor,DEVICE-1598,5418,5,02/10/2022 10:10:00
SmartSensor,DEVICE-1598,5119,5,02/10/2022 10:15:00
SmartSensor,DEVICE-1598,5356,5,02/10/2022 10:20:00
SmartSensor,DEVICE-1598,5420,5,02/10/2022 10:25:00
SmartSensor,DEVICE-1598,5323,5,02/10/2022 10:30:00
SmartSensor,DEVICE-1598,5019,5,02/10/2022 10:35:00
SmartSensor,DEVICE-1598,5430,5,02/10/2022 10:40:00
SmartSensor,DEVICE-1598,5457,5,02/10/2022 10:45:00
SmartSensor,DEVICE-1598,5170,5,02/10/2022 10:50:00
SmartSensor,DEVICE-1598,5408,5,02/10/2022 10:55:00
SmartSensor,DEVICE-1598,5118,5,02/10/2022 11:00:00
SmartSensor,DEVICE-1598,5427,5,02/10/2022 11:05:00
SmartSensor,DEVICE-1598,5293,5,02/10/2022 11:10:00
SmartSensor,DEVICE-1598,5171,5,02/10/2022 11:15:00
SmartSensor,DEVICE-1598,5072,5,02/10/2022 11:20:00
SmartSensor,DEVICE-1598,5275,5,02/10/2022 11:25:00
SmartSensor,DEVICE-1598,5027,5,02/10/2022 11:30:00
SmartSensor,DEVICE-1598,5003,5,02/10/2022 11:35:00
SmartSensor,DEVICE-1598,5151,5,02/10/2022 11:40:00
SmartSensor,DEVICE-1598,5396,5,02/10/2022 11:45:00
SmartSensor,DEVICE-1598,5227,5,02/10/2022 11:50:00
SmartSensor,DEVICE-1598,5107,5,02/10/2022 11:55:00
SmartSensor,DEVICE-1598,5277,5,02/10/2022 12:00:00
SmartSensor,DEVICE-1598,5309,5,02/10/2022 12:05:00
SmartSensor,DEVICE-1598,5425,5,02/10/2022 12:10:00
SmartSensor,DEVICE-1598,5023,5,02/10/2022 12:15:00
SmartSensor,DEVICE-1598,5037,5,02/10/2022 12:20:00
SmartSensor,DEVICE-1598,5014,5,02/10/2022 12:25:00
SmartSensor,DEVICE-1598,5020,5,02/10/2022 12:30:00
SmartSensor,DEVICE-1598,5150,5,02/10/2022 12:35:00
SmartSensor,DEVICE-1598,5255,5,02/10/2022 12:40:00
SmartSensor,DEVICE-1598,5407,5,02/10/2022 12:45:00
SmartSensor,DEVICE-1598,5388,5,02/10/2022 12:50:00
SmartSensor,DEVICE-1598,5008,5,02/10/2022 12:55:00
SmartSensor,DEVICE-1598,5099,5,02/10/2022 13:00:00
SmartSensor,DEVICE-1598,5270,5,02/10/2022 13:05:00
SmartSensor,DEVICE-1598,5454,5,02/10/2022 13:10:00
SmartSensor,DEVICE-1598,5133,5,02/10/2022 13:15:00
SmartSensor,DEVICE-1598,5285,5,02/10/2022 13:20:00
SmartSensor,DEVICE-1598,5226,5,02/10/2022 13:25:00
SmartSensor,DEVICE-1598,5067,5,02/10/2022 13:30:00
SmartSensor,DEVICE-1598,5373,5,02/10/2022 13:35:00
SmartSensor,DEVICE-1598,5307,5,02/10/2022 13:40:00
SmartSensor,DEVICE-1598,5100,5,02/10/2022 13:45:00
SmartSensor,DEVICE-1598,5125,5,02/10/2022 13:50:00
SmartSensor,DEVICE-1598,5150,5,02/10/2022 13:55:00
SmartSensor,DEVICE-1598,5460,5,02/10/2022 14:00:00
SmartSensor,DEVICE-1598,5293,5,02/10/2022 14:05:00
SmartSensor,DEVICE-1598,5083,5,02/10/2022 14:10:00
SmartSensor,DEVICE-1598,5406,5,02/10/2022 14:15:00
SmartSensor,DEVICE-1598,5488,5,02/10/2022 14:20:00
SmartSensor,DEVICE-1598,5177,5,02/10/2022 14:25:00
SmartSensor,DEVICE-1598,5036,5,02/10/2022 14:30:00
SmartSensor,DEVICE-1598,5231,5,02/10/2022 14:35:00
SmartSensor,DEVICE-1598,5312,5,02/10/2022 14:40:00
SmartSensor,DEVICE-1598,5007,5,02/10/2022 14:45:00
SmartSensor,DEVICE-1598,5049,5,02/10/2022 14:50:00
SmartSensor,DEVICE-1598,5422,5,02/10/2022 14:55:00
SmartSensor,DEVICE-1598,5075,5,02/10/2022 15:00:00
SmartSensor,DEVICE-1598,5009,5,02/10/2022 15:05:00
SmartSensor,DEVICE-1598,5417,5,02/10/2022 15:10:00
SmartSensor,DEVICE-1598,5415,5,02/10/2022 15:15:00
SmartSensor,DEVICE-1598,5120,5,02/10/2022 15:20:00
SmartSensor,DEVICE-1598,5224,5,02/10/2022 15:25:00
SmartSensor,DEVICE-1598,5077,5,02/10/2022 15:30:00
SmartSensor,DEVICE-1598,5071,5,02/10/2022 15:35:00
SmartSensor,DEVICE-1598,5106,5,02/10/2022 15:40:00
SmartSensor,DEVICE-1598,5363,5,02/10/2022 15:45:00
SmartSensor,DEVICE-1598,5089,5,02/10/2022 15:50:00
SmartSensor,DEVICE-1598,5119,5,02/10/2022 15:55:00
SmartSensor,DEVICE-1598,5055,5,02/10/2022 16:00:00
SmartSensor,DEVICE-1598,5229,5,02/10/2022 16:05:00
SmartSensor,DEVICE-1598,5480,5,02/10/2022 16:10:00
SmartSensor,DEVICE-1598,5244,5,02/10/2022 16:15:00
SmartSensor,DEVICE-1598,5257,5,02/10/2022 16:20:00
SmartSensor,DEVICE-1598,5268,5,02/10/2022 16:25:00
SmartSensor,DEVICE-1598,5436,5,02/10/2022 16:30:00
SmartSensor,DEVICE-1598,5284,5,02/10/2022 16:35:00
SmartSensor,DEVICE-1598,5243,5,02/10/2022 16:40:00
SmartSensor,DEVICE-1598,5048,5,02/10/2022 16:45:00
SmartSensor,DEVICE-1598,5129,5,02/10/2022 16:50:00
SmartSensor,DEVICE-1598,5244,5,02/10/2022 16:55:00
SmartSensor,DEVICE-1598,5349,5,02/10/2022 17:00:00
SmartSensor,DEVICE-1598,5064,5,02/10/2022 17:05:00
SmartSensor,DEVICE-1598,5364,5,02/10/2022 17:10:00
SmartSensor,DEVICE-1598,5248,5,02/10/2022 17:15:00
SmartSensor,DEVICE-1598,5292,5,02/10/2022 17:20:00
SmartSensor,DEVICE-1598,5332,5,02/10/2022 17:25:00
SmartSensor,DEVICE-1598,5467,5,02/10/2022 17:30:00
SmartSensor,DEVICE-1598,5109,5,02/10/2022 17:35:00
SmartSensor,DEVICE-1598,5469,5,02/10/2022 17:40:00
SmartSensor,DEVICE-1598,5030,5,02/10/2022 17:45:00
SmartSensor,DEVICE-1598,5212,5,02/10/2022 17:50:00
SmartSensor,DEVICE-1598,5027,5,02/10/2022 17:55:00
SmartSensor,DEVICE-1598,5137,5,02/10/2022 18:00:00
SmartSensor,DEVICE-1598,5475,5,02/10/2022 18:05:00
SmartSensor,DEVICE-1598,5179,5,02/10/2022 18:10:00
SmartSensor,DEVICE-1598,5095,5,02/10/2022 18:15:00
SmartSensor,DEVICE-1598,5218,5,02/10/2022 18:20:00
SmartSensor,DEVICE-1598,5189,5,02/10/2022 18:25:00
SmartSensor,DEVICE-1598,5102,5,02/10/2022 18:30:00
SmartSensor,DEVICE-1598,5275,5,02/10/2022 18:35:00
SmartSensor,DEVICE-1598,5218,5,02/10/2022 18:40:00
